15:51:02: Всего строк:  68
15:54:01: clients: 25, Релематика МУРОМЭНЕРГОМАШ Нет информации ЮЖНОУРАЛЬСКИЙ АРМАТУРНО-ИЗОЛЯТОРНЫЙ ЗАВОД ВОРОНЕЖСТАЛЬМОСТ УПРАВЛЯЮЩАЯ КОМПАНИЯ  ВЕЛМАШ-СЕРВИС ПРОМПРИБОР СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ПЗСП ВЫСОКОГОРСКИЙ ГОРНО-ОБОГАТИТЕЛЬНЫЙ КОМБИНАТ ЗАВОД АВТОНОМНЫХ ИСТОЧНИКОВ ТОКА БРАТСКАЯ ЭЛЕКТРОСЕТЕВАЯ КОМПАНИЯ САМАРСКИЙ РЕЗЕРВУАРНЫЙ ЗАВОД САМАРСКИЙ МЕТАЛЛУРГИЧЕСКИЙ ЗАВОД МАГАДАНЭНЕРГОРЕМОНТ УЧЕБНЫЙ ЦЕНТР УРАЛМАШЗАВОДА ГЛАЗОВСКИЙ ЗАВОД МЕТАЛЛИСТ АЭРОЗОЛЕКС ХИМЭКС - 2 ЦЕНТР КОНСАЛТИНГОВЫХ УСЛУГ ТЕУС ДЕЛЬТА ТРАФО Нова Нет информации Нет информации ПАЛФИНГЕР КРАН РУС
15:54:01: URLS: 25, http://91.219.56.146:2020/admin, http://91.219.56.146:3000/admin, http://91.219.56.146:3300/admin, http://91.219.56.146:7000/admin, http://91.219.56.146:8080/admin, http://91.219.56.146:9090/admin, http://95.79.102.106:3000/admin, http://95.79.112.202:8000/admin, http://95.79.112.203:1010/admin, http://95.79.112.203:2020/admin, http://95.79.112.203:4040/admin, http://95.79.112.204:3030/admin, http://95.79.112.204:7070/admin, http://95.79.59.227:2200/admin, http://95.79.59.227:3030/admin, http://95.79.59.227:4040/admin, http://95.79.59.227:5000/admin, http://95.79.59.227:7000/admin, http://95.79.59.227:80/admin, http://95.79.59.227:9000/admin, http://95.79.59.227:9090/admin, http://REX:1000/admin, http://dream:3456/admin, http://suntd:5577/admin, http://suntd:80/admin
15:54:01: reg: 25, 18_235101, 619_328161, 619_269249, 18_328237, 460_350073, 460_349027, 460_436172, 460_436766, 460_214253, 460_350664, 460_350352, 2238_321006, 18_52569, 460_424026, 2238_438050, 460_436440, 460_350407, 460_350537, 460_350944, 460_436728, 460_436085, 460_328248, No reg, No reg, 460_436715
15:54:31: Всего строк:  68
15:54:31: {'Kodeks': '1700778047', 'KodeksData': 'XzIzMTc0NDY0ODlfMTc5MzIwNQ=='}
15:54:32: {'Kodeks': '1700782579', 'KodeksData': 'XzIzMTc0NDY0ODlfMTc5MzIwNQ=='}
15:54:32: {'Kodeks': '1700778314', 'KodeksData': 'XzIzMTc0NDY0ODlfMTc5MzIwNQ=='}
15:54:33: {'Kodeks': '1700786532', 'KodeksData': 'XzIzMTc0NDY0ODlfMTc5MzIwNQ=='}
15:54:33: {'Kodeks': '1700778905', 'KodeksData': 'XzIzMTc0NDY0ODlfMTc5MzIwNQ=='}
15:54:33: {'Kodeks': '1700753545', 'KodeksData': 'XzIzMTc0NDY0ODlfMTc5MzIwNQ=='}
